TABLE S2: P. falciparum functional gene groups																																																
Bozdech & Llinas et al.																																																

This table contains all of the ORFs, the corresponding oligonucleotides, and the expression data																																																
for the P. falciparum functional groups including transcription machinery, cytoplasmic translation																																																
machinery, the glycolytic pathway, ribonucleotied synthesis, deoxyribonucleotide synthesis, DNA																																																
replication machinery, the TCA cycle, the proteaseome, the plastid genome, merozoite invasion,																																																
actin myosin motility, early ring transcripts, mitochondrial genes and the organellar translational group.																																																

Transcription machinery																																																
oligo_ID	ORF_ID	Manual annotation	TP 1	TP 2	TP 3	TP 4	TP 5	TP 6	TP 7	TP 8	TP 9	TP 10	TP 11	TP 12	TP 13	TP 14	TP 15	TP 16	TP 17	TP 18	TP 19	TP 20	TP 21	TP 22	TP 24	TP 25	TP 26	TP 27	TP 28	TP 30	TP 31	TP 32	TP 33	TP 34	TP 35	TP 36	TP 37	TP 38	TP 39	TP 40	TP 41	TP 42	TP 43	TP 44	TP 45	TP 46	TP 47	TP 48
ks329_3	PF11_0358	DNA-directed RNA polymerase, beta subunit, putative	1.718	1.599355126	1.489016179	1.826678779	1.963035554	1.905018109	1.448	1.709895279	1.911825619	1.925313444	1.49	1.87793218	2.340865372	1.518	1.687827141	1.606166375	1.71311048	1.702	1.603013521	1.337	1.174171366	1.214071299	0.915692387	1.011620489	0.817219946	0.807	0.615743648	0.543255978	0.464	0.564964523	0.508370522	0.519008212	0.472261473	0.489118712	0.508669791	0.592386744	0.596567016	0.621624097	0.566385853	0.793783424	1.11687358	1.035195816	1.373230433	0.71172747	1.109035375	1.080826688
ks601_3	PF11_0264	DNA-dependent RNA polymerase	0.212	0.270821021	0.290928272	0.450344636	0.444483872	0.682356682	0.42	0.822975902	0.706685699	1.422789698	1.262	1.361662057	1.752801128	1.651	1.981618463	2.239288022	2.243593805	2.469	2.675527457	2.4	2.72920512	2.225173812	1.641931247	1.764937914	1.517225789	1.323	1.028458248	0.981625916	0.634	0.592798995	0.369553476	0.402210807	0.391467257	0.277957317	0.304416282	0.33144357	0.259035677	0.249845087	0.233150803	0.238526041	0.375123819	0.238384775	0.346752156	0.381650972	0.426745726	0.512568722
ks83_18	PF11_0445	DNA-directed RNA polymerase I, putative	1.186	1.355267462	1.541835979	1.857039153	1.600141909	1.438275943	1.577	2.140921467	1.944361763	2.662142865	2.012	2.182531405	2.322354864	1.694	1.586809957	1.679757956	1.691189701	1.524	1.556954645	1.619	1.328374141	1.266450334	1.339707613	1.087592011	1.009844523	0.877	0.831253925	0.728823627	0.731	0.544652875	0.590910386	0.490220145	0.545360985	0.531135523	0.577408944	0.380885448	0.472282223	0.377756213	0.317312575	0.5396163	0.625206378	0.811298484	0.828990295	1.02232033	1.048611226	1.038775595
l2_213	PFL0665c	RNA polymerase subunit 8c, putative	1.251	1.250658443	1.769883561	2.017695771	1.611101716	1.828918922	1.627	2.529318671	3.097444009	2.914946294	1.937	2.533595101	2.815018665	1.682	1.626375023	1.761526487	1.728455104	1.276	1.493623667	1.513	1.611698768	1.359048973	1.430825729	1.054004567	1.040172695	1.061	0.745549079	0.577321522	0.562	0.379150638	0.474604201	0.31173395	0.331833419	0.242404644	0.261208811	0.296651161	0.340147848	0.309616633	0.354844159	0.496603417	0.634918341	0.703300935	0.799137433	1.342081933	1.238695642	1.127423854
l2_60	PFL0330c	DNA-directed RNA polymerase III subunit, putative	1.097	1.218113431	1.421943343	1.984805404	1.819339365	1.880920094	1.427	2.169340836	2.151291887	2.783920095	1.776	2.395492731	2.916114571	1.664	1.739177381	1.975292593	1.852307663	1.715	1.718160709	1.54	1.645140369	0.998007809	1.143036684	1.019617481	0.978696731	0.844	0.866201533	0.629316344	0.58	0.589789857	0.46241083	0.409613463	0.348184621	0.343675932	0.37217346	0.373560713	0.370237853	0.388515061	0.357118806	0.436646046	0.554794786	0.625595417	0.766988228	0.959284877	1.03854051	1.042185167
m196_8	PF13_0341	DNA-directed RNA polymerase 2, putative	1.587	2.20143793	1.909059528	2.924710102	2.487891831	1.727453187	2.002	2.059215938	3.002438127	2.489496675	2.354	2.380004677	2.389277314	1.612	1.835985424	1.569954603	1.452253052	1.66	1.35709198	1.348	1.507658283	1.188817166	0.886823262	0.802898759	0.693448447	0.735	0.650691256	0.4858824	0.412	0.314454304	0.339538975	0.249222654	0.208718405	0.198233136	0.223893264	0.179455635	0.181848277	0.302444032	0.260446511	0.353227088	0.604568509	0.674326048	0.971365374	1.394802492	1.418709267	1.407006848
m26734_1	PF13_0023	DNA-directed RNA polymerase 2, putative	1.148	0.99843463	1.28863612	1.789993347	1.327362801	1.518180271	1.215	1.315577249	1.785585257	1.385794099	1.306	1.618506384	1.970655376	1.429	1.506838078	1.38071907	1.547608415	1.449	1.351334645	1.602	1.340450281	1.550793713	1.62208366	1.399475	1.073779443	1.329	1.015144944	0.923355834	0.976	0.775603787	0.856351077	0.551086404	0.517467756	0.458952803	0.421272842	0.465119735	0.477515277	0.473390673	0.406023589	0.555257345	0.583930641	0.657204474	0.802582015	1.064725994	1.153094703	0.855796572
m44300_12	PF13_0150	DNA-directed RNA polymerase 3 largest subunit	1.152	1.127452373	1.707002771	1.692587469	1.745055774	1.677988625	1.637	1.941986303	1.730924566	2.289103762	2.011	2.239321143	2.373614707	1.819	2.100313359	2.090936545	2.015617545	1.818	1.642492543	1.356	1.539241931	1.521798156	1.299110452	1.201949117	1.098369887	1.025	0.953570579	0.735098834	0.659	0.574744211	0.417389078	0.299396182	0.345299121	0.311355311	0.399669121	0.380885448	0.293050473	0.460240924	0.408298236	0.521368408	0.700473988	0.674326048	0.87491776	0.947823898	1.141765166	1.147881149
n127_54	PF14_0150	RNA polymerase small subunit, putative	1.353	1.334345658	2.010507182	2.507255758	2.094554115	2.638107583	1.91	1.849623599	2.707009661	2.327640825	2.431	2.303854832	2.565839033	1.971	1.997612678	1.867825452	1.911493714	2.101	1.936117995	1.703	1.553176023	1.106507191	1.103341725	0.954042067	0.583611458	0.653	0.491762843	0.362170661	0.387	0.294142655	0.322655843	0.415371081	0.325100568	0.360913599	0.336821879	0.497165354	0.532462234	0.643141863	0.547051408	0.892843388	0.886214913	0.846858658	1.176890623	1.493366966	1.515639743	1.187659171
n141_60	PF14_0207	RNA polymerase subunit, putative	0.593	0.642764035	0.805712031	1.266278072	1.276216645	1.081877794	1.079	1.405571849	1.879289475	1.806619326	1.913	1.627541223	2.305268136	1.679	2.603715182	1.810587494	2.299491974	2.37	1.889236504	2.374	1.98234308	1.453518379	1.532769841	1.209146372	1.076238497	0.944	0.773839986	0.631109245	0.528	0.459644914	0.354546226	0.39069557	0.268352258	0.188536947	0.240587065	0.146494397	0.167457416	0.229522754	0.13761584	0.185085788	0.347202014	0.354284559	0.569500247	0.810292013	0.72383126	0.833066206
n176_3	PF14_0469	transcription factor IIIb subunit, putative	2.278	1.872500674	2.108601238	2.211242757	2.232161345	2.130779213	1.635	1.869753897	2.342604538	1.903732762	1.626	1.559135329	1.715780281	1.099	1.040475875	0.846887753	0.919577545	0.814	0.669498729	0.608	0.613095804	0.54997992	0.708195624	0.548594192	0.509840321	0.631	0.693127642	0.653520773	0.747	0.730466805	0.839467917	0.80935675	0.825255269	0.726136623	0.72470712	0.565834593	0.578251364	0.700522596	0.570935113	0.712971275	1.096235676	1.266995382	1.562681079	2.146643457	1.693135801	1.953670983
n181_17	PF14_0241	basic transcription factor 3b, putative	0.67	0.929857614	1.010284086	1.171402037	1.444268091	1.475057307	1.185	2.145658099	1.397754079	2.36309496	1.637	2.333540359	2.377886219	1.531	2.058222949	2.032530551	2.403615806	1.652	1.797941369	2.149	2.218292015	2.762059084	1.49217268	1.611395584	1.513127398	0.951	0.891996214	0.575528622	0.529	0.401719107	0.422078839	0.236062379	0.276046932	0.242404644	0.253352891	0.192273894	0.21455481	0.210395855	0.197893848	0.208547355	0.310782223	0.453062807	0.422532449	0.739233833	0.497240629	0.717141576
opfj12798	PF10_0269	DNA-directed RNA polymerase II, putative	1.113	1.076310171	1.302050708	1.668552154	1.315185172	1.509302063	1.56	1.561878029	2.828044458	2.145745666	2.041	1.986348869	2.060360186	1.674	1.762748131	1.597989564	1.465405494	1.753	1.515830685	1.591	1.56803887	1.194429134	1.17100366	1.077195902	1.033615249	1.072	0.964387707	0.864189356	0.667	0.725953075	0.763493752	0.546151267	0.491498174	0.410471887	0.446804553	0.357080087	0.344072658	0.383733363	0.269545081	0.462714441	0.513519049	0.570279617	0.778470077	0.680782785	1.017140331	0.963765557

Cytoplasmic Translation machinery																																																
oligo_ID	ORF_ID	Manual annotation	TP 1	TP 2	TP 3	TP 4	TP 5	TP 6	TP 7	TP 8	TP 9	TP 10	TP 11	TP 12	TP 13	TP 14	TP 15	TP 16	TP 17	TP 18	TP 19	TP 20	TP 21	TP 22	TP 24	TP 25	TP 26	TP 27	TP 28	TP 30	TP 31	TP 32	TP 33	TP 34	TP 35	TP 36	TP 37	TP 38	TP 39	TP 40	TP 41	TP 42	TP 43	TP 44	TP 45	TP 46	TP 47	TP 48
a23157_2	PFA0145c	aspartyl-tRNA synthetase	0.593	0.664848215	0.833379555	0.994300235	0.980300029	0.962655643	1.05	1.158086946	1.733527426	1.794287429	1.463	1.59656496	2.338017471	1.486	1.949629631	2.06406976	2.138374013	2.036	1.926248166	2.032	1.962835351	1.65461651	1.848525862	1.211545489	1.412306958	1.619	1.273091556	1.100855376	0.991	0.887693901	0.847909497	0.622645393	0.516505932	0.503124326	0.535183476	0.499912143	0.473590467	0.406446544	0.313900588	0.47314183	0.548724826	0.482037734	0.594760356	0.722042365	0.788031946	0.721687649
a2546_1	PF07_0080	40S ribosomal protein S10, putative	0.838	0.972863528	1.033759564	1.165076978	1.698780757	1.71476999	1.188	1.937249812	1.756953481	2.216653936	1.551	1.973442132	2.178542479	1.37	1.532092424	1.441461276	1.676941169	1.102	1.118572812	1.141	1.388754839	1.371208403	0.83269366	1.125977594	1.09673055	0.859	0.855384406	0.650831422	0.534	0.679311547	0.70721657	0.479527415	0.492460055	0.385692743	0.399669121	0.324118862	0.315290897	0.317984649	0.300252742	0.273718401	0.384835783	0.543938743	0.535054665	0.538666529	0.650818754	0.678500055
a31870_1	PF07_0079	60S ribosomal protein L11a, putative	0.829	0.799677563	0.942372801	1.192907283	1.29082977	1.547351656	1.474	2.104213167	2.743450328	2.958107842	2.301	2.909181384	3.374604917	2.094	2.214799514	2.031362376	2.15700678	1.638	1.985466748	1.79	2.007424225	1.40301	1.722223475	1.177158402	1.218862664	1.124	0.905309617	0.748545751	0.768	0.580010214	0.740044893	0.449094285	0.443406392	0.322128841	0.321110068	0.270099038	0.259035677	0.267776552	0.263858464	0.316731304	0.383621806	0.513646751	0.465015331	0.919171382	0.886221243	0.770557818
a3310_20	PFA0480w	phenylalanyl-tRNA synthetase beta chain, putative	1.259	1.355267462	1.653344522	2.051851059	2.00078626	1.684330224	1.883	2.097108431	2.328288728	2.36309496	2.009	1.930849866	2.04612136	1.615	1.55734667	1.581635802	1.458829208	1.457	1.281423814	1.43	1.328374141	1.153274257	0.781270557	1.070798289	1.104927333	0.94	0.821268872	0.779025494	0.662	0.785383474	0.821646816	0.596324845	0.551132041	0.53759966	0.538129402	0.421171408	0.302208299	0.361020145	0.320724528	0.415791306	0.668910142	0.616376117	0.748617283	0.50657576	0.691101544	0.846704425
b312	PFB0445c	helicase, putative	1.008	1.268093257	1.17377398	1.840593969	1.367549003	1.067926292	1.251	1.790416614	1.768666431	2.077920508	1.749	1.905036237	2.436265475	1.446	1.651629268	1.540751606	1.462117351	1.399	1.257571956	1.325	1.295861517	1.146726795	1.254904589	1.023615977	0.985254176	0.959	0.962723457	0.923355834	0.9	0.713916568	0.643435748	0.583987052	0.483803528	0.40293041	0.466444294	0.342430672	0.351922201	0.375365347	0.353706819	0.423611809	0.488025198	0.528134234	0.719912592	1.003982709	0.910139138	1.047867742
b319	PFB0455w	ribosomal L37ae protein, putative	1.022	1.327371677	1.095801904	1.27892819	1.693909763	2.187853755	1.491	2.75904145	1.871480739	3.429801753	2.165	2.888530542	2.671206451	1.781	1.672674473	2.232279247	2.014521585	1.373	1.454967164	1.458	1.353455397	2.11948047	1.030266684	1.601799117	1.284437019	0.898	0.81128387	0.583596783	0.579	0.510047854	0.811329354	0.472947265	0.630002552	0.502046954	0.49884992	0.403775203	0.347997429	0.413619109	0.399199683	0.456197342	0.562078758	0.863980232	0.564907528	0.418326146	0.529970382	0.539845093
b374	PFB0545c	ribosomal protein L7/L12, putative	0.842	0.90544882	0.923089369	0.869063901	0.840257157	1.067926292	0.721	0.940205607	1.072392329	1.072872833	1.081	1.365534109	1.742833983	1.133	1.520307049	1.245216968	1.696669896	1.564	1.945987628	2.194	1.981413993	1.856649913	2.193150955	1.912882368	1.813949675	1.409	1.340490498	1.109819988	1.051	0.693604919	0.635932109	0.54121618	0.509773052	0.428786894	0.568571048	0.424833748	0.378087435	0.437527742	0.423083422	0.419701558	0.683478087	0.670374891	0.58787126	0.849259355	0.84216199	0.787605609
b379	PFB0550w	peptide chain release factor subunit 1, putative	1.128	1.03562887	1.346486415	1.329528662	1.192190922	1.633597432	1.147	1.494382114	1.758254834	1.87598604	1.516	1.522996432	1.882374686	1.473	1.5666065	1.302454926	1.516919298	1.497	1.319257897	1.729	2.000921723	1.559211832	1.620279363	1.401074379	1.230338217	1.291	0.943585477	0.813091039	0.734	0.6319177	0.539322964	0.44580421	0.406856636	0.311355311	0.36628152	0.3653204	0.368929609	0.384928778	0.362805406	0.595663381	0.701687965	0.698032752	0.902474211	0.834360055	0.996998899	0.953536909
b534	PFB0830w	Ribosomal protein S26e, putative	0.656	1.25530781	1.126823025	1.566086139	2.023923696	2.871478667	1.308	3.132044987	1.832437366	3.522291072	1.954	3.744248205	2.533089698	1.732	1.353628906	2.525477533	2.336757247	1.255	1.482108998	1.34	2.222936564	2.111062351	0.701880477	2.043233553	1.459848314	0.772	0.857880681	0.562081651	0.482	0.595055859	0.997044005	0.542038686	0.682903539	0.553759954	0.493939985	0.449554687	0.385936978	0.389710512	0.371903958	0.482265776	0.591214577	0.719105483	0.563759322	0.359875098	0.565217814	0.589851797
b547	PFB0860c	RNA helicase, putative	1.381	1.30761225	2.17986592	1.889929369	2.023923696	1.907554719	1.618	1.984615287	2.183828031	2.286020834	1.937	2.218670302	2.251160562	1.67	1.41255548	1.564114003	1.718590675	1.445	1.706646039	1.437	1.338592439	1.106507191	1.100635226	0.854879305	0.779514709	0.882	0.60326237	0.518155044	0.549	0.406232836	0.368615535	0.378357827	0.285665283	0.298427069	0.371191455	0.436736428	0.457891342	0.411228278	0.435593928	0.560471039	0.935988637	0.95090505	1.103406775	1.501389624	1.618864399	1.225164191
b556	PFB0885w	40S ribosomal protein S30, putative	0.937	1.225087411	0.914705277	1.440849881	1.171488983	1.425592745	1.141	1.769102122	2.131770201	2.040924817	1.742	2.378714095	2.887636918	1.491	1.918482748	1.71830594	1.759144221	1.534	1.716515672	1.736	1.764972678	1.263644295	1.696962998	1.226739831	1.359847493	1.296	0.97603686	0.939492156	1.046	0.71090743	1.043941722	0.587277127	0.549208337	0.523594046	0.496885911	0.371729529	0.375470908	0.338306964	0.353706819	0.410577612	0.537798885	0.700666883	0.561462946	0.900833829	0.939092392	0.761465739
c132	PFC0200w	60S Ribosomal protein L44, putative	0.88	0.965889548	1.238331568	1.349768911	1.27499897	1.728721568	1.436	2.079346378	2.287943847	2.951941801	2.225	2.261262567	2.614250975	1.995	1.958889461	1.844463055	2.095628415	1.432	1.662232005	1.737	1.383181202	1.659293205	1.658170133	1.277120902	1.246731782	1.154	0.923615472	0.737788238	0.77	0.528854956	0.685643649	0.472947265	0.478994324	0.3210515	0.367263525	0.293904399	0.315290897	0.239086204	0.28433025	0.381902369	0.446749425	0.6400829	0.568352075	0.794246628	0.911397959	0.784196037
c190	PFC0290w	40S ribosomal protein S23, putative	0.863	0.9124228	1.237493119	1.305493347	1.373637818	1.557498245	1.386	2.111318045	2.394662523	2.634396143	1.984	2.342575199	2.641304847	1.717	1.760222686	1.801242647	1.742703637	1.48	1.640025085	1.685	1.732460054	1.293575235	1.399250159	1.197150883	1.270502411	1.068	0.877018661	0.67324295	0.717	0.503277349	0.801011836	0.48693007	0.50304023	0.463262228	0.384939286	0.353417747	0.350613957	0.291685167	0.297978096	0.43794945	0.497737126	0.582133008	0.556870226	0.473338873	0.642006858	0.660315762
c191	PFC0295c	40S ribosomal protein S12, putative	0.963	0.984486737	1.113408438	1.048695772	1.288394274	1.78072274	1.475	1.436359464	2.831948826	2.064047055	2.067	2.165752616	1.571967897	1.851	1.951313328	1.558273404	1.389778727	1.689	2.42713846	1.579	1.404546663	1.590078045	1.249491591	1.364288176	0.791809931	1.151	0.724746899	0.637384505	0.622	0.700375469	1.048631483	0.687624233	0.581910798	0.463262228	0.525363606	0.430327299	0.43957569	0.405251093	0.322999175	0.432735756	0.539012899	0.645351083	0.533906494	0.269333264	0.468287375	0.672817481
c195	PFC0300c	60S ribosomal protein L7, putative	1.016	1.187893032	1.516683703	1.586326237	2.118909372	2.22083013	1.748	3.018367791	2.563850627	3.526915557	2.31	2.842066224	2.852039682	1.892	2.043070482	2.418010392	2.173447364	1.523	1.657297286	1.385	1.701805272	1.662099134	0.885018966	1.326702331	1.140173516	0.819	0.679814239	0.588079088	0.5	0.500268211	0.69502317	0.415371081	0.481879824	0.415858652	0.388867246	0.370813951	0.330990021	0.392101379	0.344608267	0.496603417	0.661626205	0.807347327	0.69120797	0.575341668	0.67725429	0.725097221
c257	PFC0400w	60S Acidic ribosomal protein P2	0.94	1.075147864	1.117600484	1.219472515	1.471058845	1.491545495	1.261	1.918303566	2.235886017	2.444793571	1.817	2.492293418	2.916114571	1.785	1.225673879	1.816428094	1.772296662	1.302	1.320902836	1.649	1.708307775	1.435746869	1.825069682	1.180357161	1.290174747	1.053	0.952738454	0.825641505	1.013	0.565716797	0.851661317	0.449094285	0.465528621	0.503124326	0.432074718	0.364404822	0.468357451	0.362215597	0.329823081	0.457500785	0.503807085	0.620327234	0.545388343	0.974184177	0.915174497	0.859206076
c360	PFC0535w	60S ribosomal protein L26, putative	1.202	1.330858668	1.639929935	1.261217934	1.916760537	2.695182125	1.969	2.54116004	2.820235721	3.2756535	2.521	3.000819437	2.521698603	2.133	2.052330311	2.228774859	1.982736377	1.546	1.892526577	1.441	1.461211566	1.880033391	1.161982069	1.293914624	0.850826792	0.947	0.79214589	0.59076844	0.501	0.526598091	0.829150455	0.487752577	0.567483215	0.535444948	0.363335565	0.427580537	0.359771783	0.396883077	0.33664702	0.534402605	0.637346296	0.824468901	0.599353109	0.335807021	0.608018284	0.456879443
c491	PFC0735w	40S ribosomal protein S15A, putative	1.024	0.897312601	1.072326427	1.178992092	1.650070243	1.96843425	1.314	2.283018032	2.260613424	2.637479071	1.767	2.574896631	2.007676392	1.607	1.905013777	2.145838291	1.772296662	1.449	1.273199022	1.24	1.564323186	1.50496203	0.747890637	1.347494454	1.127058625	0.812	0.748045305	0.654417277	0.587	0.549918878	0.939828882	0.52805593	0.543437338	0.519284621	0.448768504	0.379054264	0.514146582	0.406446544	0.443555174	0.531795758	0.600926541	0.72305664	0.591315774	0.451562999	0.623124321	0.656906258
c515	PFC0775w	40S ribosomal protein S11, putative	0.965	1.171620595	1.332233479	1.4825953	1.880227652	1.995068875	1.804	2.505635933	2.340001677	2.8902825	2.149	2.434213098	2.460471616	1.85	1.97825107	2.414506005	2.039730376	1.571	1.681149046	1.31	1.618201271	1.751891844	0.855247692	1.314706843	1.222141435	0.813	0.805459244	0.618558778	0.563	0.466415464	0.756928054	0.361907478	0.426093337	0.433096319	0.442876593	0.338768304	0.296975245	0.280926284	0.286604897	0.389722872	0.409115656	0.561060317	0.523572816	0.474484991	0.58535921	0.639858535
c679	PFC1020c	40S ribosomal protein S3A, putative	0.723	1.006570848	1.011122435	1.234652702	1.805944061	1.986190667	1.432	2.351697999	2.118755743	2.790085952	1.876	2.971133909	2.097381203	1.671	1.750120908	1.975292593	1.761336273	1.345	1.425357873	1.269	1.545744544	1.613461522	0.836302308	1.440259699	1.009844523	0.839	0.87535451	0.536084267	0.514	0.538634643	0.785066673	0.415371081	0.476108825	0.47726781	0.452696464	0.340599488	0.294358717	0.2892943	0.275231681	0.3362826	0.410329633	0.470184342	0.419087901	0.270479366	0.474581554	0.510295685
d16785_20	PFD1070w	eukaryotic initiation factor	0.967	0.872903807	1.380022883	1.516750588	1.505156233	1.613304255	1.558	2.011850463	2.126564325	2.027051548	1.692	1.812107757	2.516002971	1.585	1.460538627	1.572290815	1.417179701	1.291	1.486221394	1.342	1.741749375	1.197235173	1.599529682	1.288316653	1.218862664	1.192	1.085040161	0.810401634	0.86	0.583771625	0.648125509	0.470479746	0.433788041	0.395388933	0.420290867	0.346093012	0.412102212	0.48175869	0.357118806	0.466624731	0.626420355	0.575547799	0.865732253	1.290507528	1.148059345	1.079690186
