TABLE S4: 3D7 vs HB3 Competitive Genomic Hybridization Data
Bozdech & Llinas et al.

This table contains all of the intensity data from competitive genomic hybridizations of genomic  
DNA derived from the 3D7 and HB3 strains of P. falciparum. The averaged intensities from three
microarray hybridization experiments are listed.  A %3D7 intensity in the HB3 channel 
of '-1' indicates that signal in these spots for one or both of the strains was below background.
Strains used in this study were obtained from the Malaria Resource Center (MR4).

Column 1: Oligonucleotide ID
Column 2: PlasmoDB ID
Column 3: PlasmoDB Manual annotation 
Column 4: Averaged normalized intensity for strain 3D7
Column 5: Averaged normalized intensity for strain HB3
Column 6: % of 3D7 intensity in the HB3 channel

Oligonucleotide ID	PlasmoDB ID	Manual annotation	3D7 averaged normalized intensity	HB3 averaged normalized intensity	%3D7 intensity
A21885_19	PFA0430c	hypothetical protein	485.62	571.5	1.18
A21885_2	NULL		776.62	692.5	0.89
A21885_20	NULL		981.62	943.83	0.96
A21885_5	PFA0415c	hypothetical protein	374.95	435.5	1.16
A21885_9	PFA0425c	hypothetical protein	1033.28	1082.16	1.05
A22053_2	PFA0050c	rifin	981.95	583.5	0.59
A22053_4	MAL6P1.13	hypothetical protein, conserved in P. falciparum	1382.76	1023.17	0.74
A22429_1	PFA0430c	hypothetical protein	537.95	482.83	0.9
A23157_1	PFA0140c	hypothetical protein	735.95	782.16	1.06
A23157_12	PFA0170c	hypothetical protein, conserved	804.76	725.17	0.9
A23157_14	PFA0165c	hypothetical protein	423.95	449.83	1.06
A23157_18	PFA0160c	integral membrane protein	440.76	407.17	0.92
A23157_19	NULL		120.62	116.83	0.97
A23157_2	PFA0145c	aspartyl-tRNA synthetase	682.62	603.16	0.88
A23157_8	PFA0150c	hypothetical protein	434.76	391.17	0.9
A2386_2	NULL		1151.62	984.16	0.85
A24704_11	PFA0255c	hypothetical protein	551.76	497.17	0.9
A24704_4	PFA0275c	hypothetical protein	639.28	661.5	1.03
A24704_6	PFA0270c	hypothetical protein	359.76	359.17	1
A24704_9	PFA0265c	hypothetical protein	85.28	69.5	0.81
A25290_1	NULL		181.95	211.83	1.16
A2546_1	PF07_0080	40S ribosomal protein S10, putative	1173.95	1056.16	0.9
A25493_1	PFA0390w	DNA repair exonuclease, putative	540.55	466.16	0.86
A26463_1	NULL		408.62	393.5	0.96
A26463_4	PFA0130c	Serine/Threonine protein kinase, putative	457.55	457.16	1
A29544_1	NULL		497.62	375.16	0.75
A31429_1	PFA0250w	hypothetical protein	270.55	239.16	0.88
A31870_1	PF07_0079	60S ribosomal protein L11a, putative	586.62	514.5	0.88
A31914_2	PFA0440w	hypothetical protein	557.62	500.16	0.9
A31914_4	NULL		8664.62	8529.16	0.98
A31914_5	PFA0445w	hypothetical protein	660.95	653.5	0.99
A31914_6	PFA0445w	hypothetical protein	561.62	514.16	0.92
A31914_8	PFA0450c	mRNA cleavage factor-like protein, putative	739.62	792.5	1.07
A32027_1	NULL		3387.95	2765.5	0.82
A3310_1	PFA0510w	hypothetical protein	611.95	651.5	1.06
A3310_11	NULL		766.95	748.16	0.98
A3310_19	PFA0485w	hypothetical protein	1260.28	1158.16	0.92
A3310_20	PFA0480w	phenylalanyl-tRNA synthetase beta chain, putative	542.28	548.83	1.01
A3310_26	PFA0470c	cold-shock protein, putative	587.62	585.5	1
A3310_30	PFA0465c	N-terminal acetyltransferase, putative	404.28	365.16	0.9
A3310_4	PFA0505c	DNA-directed RNA polymerase 2 subunit, putative	260.28	301.5	1.16
A3310_6	PFA0500w	human hepatopoietin-like protein, putative	849.95	640.5	0.75
A3310_8	PFA0490w	hypothetical protein	450.95	511.83	1.14
A4003_1	PF08_0054	heat shock 70 kDa protein	292.28	308.5	1.06
A4732_10	PFA0740w	rifin	623.28	67.83	0.11
A4732_13	PF07_0137	rifin	832.28	539.16	0.65
A4732_14	PFA0750w	stevor	550.95	59.5	0.11
A4732_17	MAL6P1.5	rifin	714.95	390.5	0.55
A4732_19	PFA0765c	erythrocyte membrane protein 1 (PfEMP1)	255.62	24.16	0.09
A4732_8	MAL8P1.163	hypothetical protein	930.95	903.16	0.97
A6420_1	PFA0245w	hypothetical protein	859.28	842.5	0.98
A6420_10	NULL		848.62	781.5	0.92
A6420_12	PFA0220w	ubiquitin carboxyl-terminal hydrolase, putative	858.95	780.83	0.91
A6420_15	PFA0215w	hypothetical protein	933.62	923.5	0.99
A6420_2	NULL		1309.95	1060.83	0.81
A6420_5	PFA0240w	hypothetical protein	866.95	713.16	0.82
A6420_8	PFA0235w	hypthetical protein	792.95	299.5	0.38
A6615_1	PFI0080w	stevor	698.28	110.83	0.16
A6807_2	PFA0320w	hypothetical protein	1134.62	1155.16	1.02
A8010_1	PFA0175w	hypothetical protein	816.62	664.16	0.81
A8010_10	PFA0180w	hypothetical protein	731.95	717.5	0.98
A8010_11	PFA0180w	hypothetical protein	425.62	297.5	0.7
A8010_15	NULL		411.95	466.16	1.13
A8010_16	NULL		307.95	291.16	0.95
A8010_2	NULL		774.62	566.16	0.73
A8010_25	PFA0195w	hypothetical protein	493.95	524.83	1.06
A8010_27	NULL		849.28	585.16	0.69
A8010_30	PFA0205w	hypothetical protein	638.28	617.5	0.97
A8010_31	PFA0210c	hypothetical protein	594.62	471.5	0.79
A8010_4	NULL		931.95	936.16	1
A8010_8	PFA0175w	hypothetical protein	624.95	619.83	0.99
A8109_11	NULL		479.95	417.5	0.87
A8109_12	PFA0290w	DNA binding protein, putative	606.95	691.16	1.14
A8109_16	PFA0285c	hypothetical protein	510.95	445.83	0.87
A8109_21	PFA0285c	hypothetical protein	706.62	700.16	0.99
A8109_22	PFA0280w	asparagine-rich antigen Pfa35-2	475.95	509.5	1.07
A8109_23	NULL		1532.62	1317.16	0.86
A8109_3	PFA0310c	calcium-transporting ATPase	743.62	678.5	0.91
A8109_5	PFA0305c	hypothetical protein	577.95	590.5	1.02
A8109_6	PFA0300c	vacuolar ATP synthase, putative	762.95	641.16	0.84
A8109_9	PFA0295c	hypothetical protein	782.95	749.16	0.96
A8408_1	PF07_0101	hypothetical protein	998.95	1064.83	1.07
A8408_2	PF07_0101	hypothetical protein	319.28	385.5	1.21
A8445_2	MAL7P1.92	cysteine repeat modular protein 2 homologue	712.28	764.83	1.07
A8784_10	PFA0695c	VAR-like pseudogene	1092.28	1080.5	0.99
A8784_12	PFA0690w	pseudogene,  P falciparum-specific gene family	1193.62	1050.5	0.88
A8784_15	PFA0695c	VAR-like pseudogene	989.62	877.83	0.89
A8784_16	NULL		863.95	675.83	0.78
A8784_2	PFA0675w	P. falciparum RESA-like protein with DnaJ domain	753.28	686.5	0.91
A8784_20	PFA0710c	rifin	295.62	235.83	0.8
A8784_7	PFA0685c	hypothetical protein, conserved in P. falciparum	539.28	499.83	0.93
A8784_9	NULL		1188.28	1131.5	0.95
A9766_1	PFA0405w	hypothetical protein	816.95	683.5	0.84
aF8511_1	NULL		645.95	655.83	1.02
aKn63_3	NULL		593.62	591.16	1
aKs186_10	NULL		872.62	809.16	0.93
aM11919_1	NULL		590.62	540.16	0.91
aM43418_1	NULL		1026.62	1005.83	0.98
aN150_50	NULL		937.55	817.66	0.87
aN155_14	NULL		722.62	746.83	1.03
B102	NULL		694.28	616.16	0.89
B103	NULL		699.62	639.5	0.91
B11	PFB0010w	erythrocyte membrane protein 1 (PfEMP1)	782.95	66.5	0.08
B110	PFB0180w	5'-3' exonuclease, N-terminal resolvase-like domain, putative	431.28	380.5	0.88
B112	PFB0185w	hypothetical protein	698.28	654.83	0.94
B114	PFB0190c	hypothetical protein	717.95	652.16	0.91
B116	NULL		708.95	627.83	0.89
B117	PFB0194w	hypothetical protein	628.62	525.5	0.84
B119	PFB0194w	hypothetical protein	518.95	498.5	0.96
B12	PFB0015c	rifin	919.62	236.5	0.26
B120	PFB0195c	hypothetical protein	721.62	646.5	0.9
B121	PFB0200c	aspartate aminotransferase, putative	651.62	601.83	0.92
B122	PFB0205c	hypothetical protein	826.95	696.83	0.84
B124	PFB0210c	monosaccharide transporter, putative	947.62	837.83	0.88
B125	PFB0215c	3'-5' exonuclease, putative	625.62	652.83	1.04
B132	PFB0220w	UbiE-like methlytransferase, putative	1271.62	1157.5	0.91
B133	PFB0225c	hypothetical protein	719.95	761.16	1.06
B134	PFB0230c	hypothetical protein	1099.62	984.5	0.9
B135	PFB0230c	hypothetical protein	1009.28	895.5	0.89
B140	NULL		894.62	865.5	0.97
B143	NULL		996.95	996.5	1
B144	PFB0235w	hypothetical protein	858.62	728.16	0.85
B145	PFB0240w	hypothetical protein, conserved	654.28	571.83	0.87
B146	PFB0245c	DNA-directed RNA polymerase II 16 kDa subunit, putative	812.95	693.83	0.85
B148	NULL		1455.28	1354.16	0.93
B149	PFB0250w	hypothetical protein	514.62	470.16	0.91
B153	PFB0255w	hypothetical protein	838.95	816.5	0.97
B16	PFB0025c	stevor, putative	629.62	95.5	0.15
B161	PFB0256w	hypothetical protein	911.28	931.5	1.02
B162	NULL		513.95	445.83	0.87
B165	PFB0260w	proteasome 26S regulatory subunit, putative	239.43	213.81	0.89
B170	PFB0265c	DNA repair endonuclease, putative	512.28	479.16	0.94
B171	PFB0270w	hypothetical protein, conserved	474.28	433.5	0.91
B172	PFB0270w	hypothetical protein, conserved	829.28	736.83	0.89
B174	PFB0275w	hypothetical protein, conserved	684.62	661.83	0.97
B177	PFB0279w	hypothetical protein	1435.95	1418.83	0.99
B178	PFB0280w	hypothetical protein	838.62	735.83	0.88
B180	PFB0285c	hypothetical protein	1329.95	1272.83	0.96
B182	PFB0290c	transcription factor, putative	947.95	960.16	1.01
B186	PFB0295w	adenylosuccinate lyase, putative	494.28	410.5	0.83
B187	NULL		1091.62	968.16	0.89
B188	PFB0300c	merozoite surface protein 2 precursor	716.28	5.16	0.01
B190	PFB0305c	merozoite surface protein 5	548.95	605.16	1.1
B192	PFB0310c	merozoite surface protein 4	698.95	696.16	1
B197	PFB0315w	41 kDa antigen	380.95	406.83	1.07
B198	PFB0320c	hypothetical protein, conserved	822.28	617.16	0.75
B203	PFB0325c	cysteine protease, putative	757.62	758.83	1
B204	NULL		838.62	754.5	0.9
B209	PFB0330c	cysteine protease, putative	646.95	662.16	1.02
B215	PFB0335c	cysteine protease, putative	520.62	543.16	1.04
B218	PFB0340c	cysteine protease, putative	389.62	387.5	0.99
B225	PFB0345c	cysteine protease, putative	878.62	784.5	0.89
B230	PFB0350c	cysteine protease, putative	488.28	380.5	0.78
B241	PFB0355c	cysteine protease, putative	481.62	436.83	0.91
B244	PFB0360c	cysteine protease, putative	800.95	707.16	0.88
B25	PFB0035c	rifin	667.28	92.83	0.14
B251	PFB0365w	hypothetical protein, conserved	13950.62	13595.83	0.97
B262	PFB0365w	hypothetical protein, conserved	759.62	687.83	0.91
B264	PFB0370c	RNA-binding protein, putative	711.62	621.16	0.87
B265	PFB0375w	hypothetical protein	1499.62	1367.83	0.91
B266	PFB0380c	hypothetical protein	694.28	731.5	1.05
B267	NULL		970.62	1018.5	1.05
B270	PFB0385w	acyl carrier protein, putative	1032.38	1041.03	1.01
B272	PFB0390w	ribosome releasing factor, putative	537.62	473.83	0.88
B275	PFB0391c	hypothetical protein	756.95	683.16	0.9
B277	PFB0395w	hypothetical protein	679.95	562.5	0.83
B278	PFB0400w	hypothetical protein	489.95	478.16	0.98
B279	PFB0405w	transmission-blocking target antigen s230 precursor	659.95	575.83	0.87
B282	PFB0410c	phospholipase, putative	416.62	439.16	1.05
B290	PFB0415c	hypothetical protein	636.28	538.5	0.85
B295	PFB0420w	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	574.62	643.16	1.12
B297	PFB0425c	hypothetical protein	998.95	754.5	0.76
B299	PFB0425c	hypothetical protein	597.28	619.5	1.04
B3	PF11_0003	hypothetical protein	6345.28	4643.83	0.73
B303	PFB0435c	hypothetical protein	830.95	805.16	0.97
B306	NULL		1059.95	900.16	0.85
B31	PFB0050c	stevor isoform gam beta	823.95	146.5	0.18
B310	PFB0440c	hypothetical protein	1253.28	1116.16	0.89
B312	PFB0445c	helicase, putative	1105.28	865.5	0.78
B315	PFB0450w	Sec61-gamma subunit of protein translocation complex, putative	462.38	416.03	0.9
B316	NULL		599.95	596.5	0.99
B319	PFB0455w	ribosomal L37ae protein, putative	377.62	394.83	1.05
B32	PFB0055c	rifin	782.28	149.16	0.19
B320	PFB0460c	hypothetical protein	593.28	576.5	0.97
B322	PFB0465c	hypothetical protein	1294.95	1241.16	0.96
B324	NULL		644.62	609.5	0.95
B325	PFB0470w	hypothetical protein	507.28	455.16	0.9
B326	PFB0475c	hypothetical protein	1023.28	993.16	0.97
B327	PFB0475c	hypothetical protein	463.28	488.16	1.05
B328	PFB0480w	syntaxin, putative	921.95	914.83	0.99
B34	NULL		190.28	71.5	0.38
B342	PFB0485c	hypothetical protein	947.95	784.83	0.83
B343	PFB0490c	hypothetical protein	606.62	545.16	0.9
B344	PFB0495w	hypothetical protein	826.28	860.83	1.04
B345	PFB0500c	rab5 protein, putative	543.28	455.5	0.84
B347	PFB0501c	hypothetical protein	558.95	545.5	0.98
B351	PFB0505c	beta-ketoacyl-acyl carrier protein synthase III precursor, putative	1332.28	1403.16	1.05
B361	PFB0510w	hypothetical protein	833.62	754.83	0.91
B362	PFB0515w	hypothetical protein	680.95	640.5	0.94
B363	PFB0520w	protein kinase, putative	1072.95	949.5	0.88
B364	PFB0525w	asparagine -- tRNA ligase, putative	359.28	336.83	0.94
B366	PFB0530c	hypothetical protein	904.95	794.16	0.88
B37	PFB0060w	rifin	528.95	50.16	0.09
B370	PFB0535w	hypothetical protein	1507.28	1287.16	0.85
B371	PFB0535w	hypothetical protein	902.62	758.16	0.84
B372	PFB0540w	hypothetical protein	558.62	629.16	1.13
B374	PFB0545c	ribosomal protein L7/L12, putative	810.95	702.16	0.87
B379	PFB0550w	peptide chain release factor subunit 1, putative	623.62	643.16	1.03
B380	NULL		1016.28	935.83	0.92
B381	PFB0555c	hypothetical protein	887.95	795.16	0.9
B383	PFB0560w	hypothetical protein	718.28	759.16	1.06
B387	PFB0570w	hypothetical protein	471.62	405.16	0.86
B388	PFB0575c	hypothetical protein	1081.28	985.83	0.91
B389	PFB0580w	hypothetical protein	699.95	634.5	0.91
B391	PFB0585w	Leu/Phe-tRNA protein transferase, putative	817.28	709.83	0.87
B392	PFB0590w	hypothetical protein	686.95	708.83	1.03
B396	PFB0595w	heat shock 40 kDa protein, putative	604.28	563.83	0.93
B397	PFB0600c	hypothetical protein	1025.28	1064.83	1.04
B403	PFB0605w	Ser/Thr protein kinase, putative	561.95	529.5	0.94
B405	PFB0610c	hypothetical protein	449.62	402.16	0.89
B413	PFB0615c	hypothetical protein	469.95	499.5	1.06
B415	NULL		2190.62	4595.16	2.1
B416	PFB0615c	hypothetical protein	897.28	848.16	0.95
B418	PFB0615c	hypothetical protein	716.28	701.5	0.98
B42	PFB0070w	hypothetical protein	1037.28	40.16	0.04
B424	PFB0620w	hypothetical protein	283.28	299.5	1.06
B426	NULL		1262.62	1043.5	0.83
B427	PFB0625w	hypothetical protein	583.62	532.5	0.91
B428	PFB0630c	hypothetical protein	958.62	746.5	0.78
B431	PFB0640c	hypothetical protein, conserved	394.95	498.83	1.26
B432	PFB0635w	T-complex protein 1, putative	725.62	701.16	0.97
B437	PFB0645c	Ribosomal protein L13, putative	355.62	368.5	1.04
B439	PFB0650w	hypothetical protein	1186.28	1125.83	0.95
B443	PFB0660w	hypothetical protein	765.62	746.83	0.98
B444	PFB0665w	Ser/Thr protein kinase, putative	575.95	547.83	0.95
B446	NULL		1326.62	1368.5	1.03
B449	PFB0670c	hypothetical protein	745.28	785.5	1.05
B45	PFB0075c	hypothetical protein	700.62	28.5	0.04
B453	PFB0675w	hypothetical protein	685.62	619.5	0.9
B455	PFB0680w	hypothetical protein	568.28	654.5	1.15
B456	PFB0680w	hypothetical protein	886.28	789.83	0.89
B457	PFB0680w	hypothetical protein	877.95	828.83	0.94
B458	PFB0685c	acyl-CoA synthetase	691.62	742.83	1.07
B461	PFB0687c	RING zinc finger protein, putative	920.28	805.16	0.87
B464	PFB0690w	hypothetical protein	461.28	484.5	1.05
B465	PFB0695c	acyl-CoA synthetase	462.28	493.83	1.07
B466	PFB0700c	hypothetical protein	583.62	578.5	0.99
B467	PFB0705w	hypothetical protein	785.28	741.5	0.94
B468	PFB0710c	hypothetical protein	844.95	793.83	0.94
B47	PFB0080c	hypothetical protein	269.95	-8.5	-1
B471	PFB0715w	DNA-directed RNA polymerase II second largest subunit, putative	955.76	980.17	1.03
B475	PFB0720c	hypothetical protein, conserved	729.62	620.83	0.85
B476	NULL		961.62	876.5	0.91
B479	NULL		1546.95	1421.83	0.92
B481	PFB0730w	DNA helicase, putative	386.28	426.16	1.1
B484	PFB0735c	hypothetical protein	350.28	388.5	1.11
B487	PFB0745w	hypothetical protein	874.95	744.83	0.85
B489	PFB0750w	vacuolar protein-sorting protein VPS45, putative	766.62	743.5	0.97
B490	PFB0755w	hypothetical protein	861.28	727.83	0.85
B491	PFB0760w	hypothetical protein	840.95	734.16	0.87
B492	NULL		563.95	586.83	1.04
B496	PFB0765w	hypothetical protein	718.95	743.5	1.03
B497	NULL		460.62	499.83	1.09
B498	PFB0770c	hypothetical protein	860.28	845.16	0.98
B499	NULL		976.95	1004.16	1.03
B50	PFB0085c	hypothetical protein	595.28	36.5	0.06
B503	PFB0775w	hypothetical protein	364.62	447.5	1.23
B504	NULL		1213.95	1100.83	0.91
B505	NULL		2232.62	1859.83	0.83
B506	NULL		1240.62	1149.5	0.93
B507	PFB0790c	hypothetical protein	804.28	824.16	1.02
B508	PFB0795w	ATP synthase F1, alpha subunit, putative	889.76	944.17	1.06
B510	PFB0800c	hypothetical protein	470.28	465.5	0.99
B511	PFB0805c	clathrin coat assembly protein, putative	1143.76	1109.17	0.97
B513	PFB0810w	hypothetical protein	678.62	728.5	1.07
B515	NULL		30437.95	32313.5	1.06
B516	PFB0814c	hypothetical protein	622.95	635.5	1.02
B518	NULL		652.95	589.16	0.9
B521	PFB0815w	protein kinase, putative	396.28	394.83	1
B524	PFB0820c	hypothetical protein	901.95	773.16	0.86
B527	NULL		1050.28	1003.83	0.96
B529	PFB0820c	hypothetical protein	969.95	872.16	0.9
B530	PFB0826c	hypothetical protein	416.28	410.5	0.99
B532	PFB0826c	hypothetical protein	1096.95	927.5	0.85
B534	PFB0830w	Ribosomal protein S26e, putative	610.95	547.16	0.9
B536	PFB0835c	hypothetical protein	547.62	490.16	0.9
B537	PFB0840w	replication factor C, subunit 2	917.76	959.17	1.05
B540	NULL		1308.62	1212.83	0.93
B541	PFB0845w	hypothetical protein	947.95	870.83	0.92
B542	PFB0855c	hypothetical protein	810.62	736.16	0.91
B543	PFB0855c	hypothetical protein	631.62	643.5	1.02
B547	PFB0860c	RNA helicase, putative	530.62	403.5	0.76
B549	PFB0865w	small nuclear ribonucleoprotein, putative	949.76	919.17	0.97
B55	PFB0095c	erythrocyte membrane protein 3	493.62	-21.5	-1
B550	PFB0870w	hypothetical protein	529.62	463.16	0.87
B551	PFB0875c	hypothetical protein	787.95	827.83	1.05
B554	PFB0880w	hypothetical protein, conserved	396.28	385.83	0.97
B555	NULL		789.62	798.5	1.01
B556	PFB0885w	40S ribosomal protein S30, putative	1056.76	1058.17	1
B557	PFB0886c	hypothetical protein	409.62	442.83	1.08
B558	PFB0888w	hypothetical protein	451.62	411.16	0.91
B560	PFB0890c	pseudouridine synthetase, putative	338.95	381.83	1.13
B564	PFB0895c	replication factor C subunit 1, putative	484.95	486.83	1
B565	PFB0900c	hypothetical protein	639.62	615.5	0.96
B567	PFB0905c	hypothetical protein	516.62	493.83	0.96
B568	PFB0910w	hypothetical protein	751.95	730.16	0.97
B57	PFB0100c	knob associated histidine-rich protein	1313.95	25.5	0.02
B572	PFB0915w	liver stage antigen 3	610.62	579.83	0.95
B573	PFB0920w	hypothetical protein	911.28	756.16	0.83
B576	PFB0921c	hypothetical protein	595.28	618.16	1.04
B577	PFB0923c	hypothetical protein	850.95	657.83	0.77
B579	PFB0925w	hypothetical protein	669.28	639.5	0.96
B583	PFB0926c	hypothetical protein	1262.95	629.83	0.5
B586	NULL		1190.28	1064.16	0.89
B587	PFB0930w	hypothetical protein	695.28	664.5	0.96
B588	PFB0932w	hypothetical protein	677.28	697.5	1.03
B590	NULL		674.28	642.16	0.95
B593	PFB0935w	cytoadherence linked asexual protein 2	446.62	487.83	1.09
B597	PFB0935w	cytoadherence linked asexual protein 2	1149.28	911.5	0.79
B598	PFB0946c	hypothetical protein	647.62	655.83	1.01
B599	NULL		559.28	440.83	0.79
B60	PFB0105c	hypothetical protein	611.62	527.16	0.86
B601	PFB0950w	hypothetical protein	553.88	483.03	0.87
B603	NULL		659.28	211.5	0.32
B606	NULL		493.88	465.53	0.94
B607	NULL		6002.95	5866.83	0.98
B609	PFB0955w	stevor, degenerate, putative	583.28	524.5	0.9
B611	NULL		1378.62	1096.83	0.8
B613	PFB0965c	hypothetical protein	965.62	277.16	0.29
B615	PFB0970c	hypothetical protein	793.95	47.16	0.06
B617	PFB0972w	hypothetical protein	685.95	77.5	0.11
B618	PFB0973c	hypothetical protein	465.28	88.83	0.19
B619	PFB0974c	erythrocyte membrane protein 1 (PfEMP1), truncated, degenerate	1522.62	752.83	0.49
B620	PFB0975c	erythrocyte membrane protein 1 (PfEMP1), truncated	4701.62	3052.5	0.65
B627	PFB0985c	hypothetical protein	1087.95	591.83	0.54
B634	PFB1010w	rifin	381.28	31.16	0.08
B639	PFB1020w	stevor, putative	791.28	779.5	0.99
B64	PFB0106c	hypothetical protein	760.95	611.5	0.8
B643	PF07_0131	VAR pseudogene	3596.62	3566.83	0.99
B645	PFB1035w	rifin	758.28	562.83	0.74
B648	PFB1040w	rifin	861.95	103.5	0.12
B653	PFB1050w	rifin	496.62	154.16	0.31
B662	NULL		4768.95	3655.83	0.77
B664	NULL		10731.62	8486.83	0.79
B665	NULL		3192.62	2154.83	0.67
B666	NULL		1790.62	1220.5	0.68
B667	NULL		4808.62	3800.83	0.79
B68	PFB0110w	hypothetical protein	422.28	371.16	0.88
B69	PFB0115w	hypothetical protein	931.28	868.83	0.93
B70	PFB0120w	hypothetical protein	508.28	428.83	0.84
