TABLE S6: Putative P. falciparum proteases and their expression data																																																
Bozdech & Llinas et al.																																																

The table was constructed by manually searching the database for any available putative protease annotations																																																
and contains 65 of the 92 proteases identified by Wu el al. Genome Research, 13, 2003.																																																

This table lists the PlasmoDB ID, oligo ID, manual annotation and expression values for all timepoints.																																																

PlasmoDB ID	oligo	Manual annotation	TP1	TP2	TP3	TP4	TP5	TP6	TP7	TP8	TP9	TP10	TP11	TP12	TP13	TP14	TP15	TP16	TP17	TP18	TP19	TP20	TP21	TP22	TP24	TP25	TP26	TP27	TP28	TP30	TP31	TP32	TP33	TP34	TP35	TP36	TP37	TP38	TP39	TP40	TP41	TP42	TP43	TP44	TP45	TP46	TP47	TP48
PFC0745c	c498	proteasome component C8, putative	0.498	0.44749396	0.51059171	0.62618144	0.57600236	0.6151357	0.456	0.58733244	0.86936657	0.82315242	0.698	0.76407961	0.99529492	0.775	1.054786695	0.87025015	1.0061647	0.966	0.7945157	1.244	1.4203386	1.08499437	1.38661987	1.1291764	1.24673178	1.659	1.55267252	1.63156089	1.831	2.02815504	1.87871988	1.32260737	1.39658589	1.32083595	1.19606144	1.34500169	0.9497975	0.8260428	0.57889639	0.6530139	0.5560088	0.50706154	0.6590588	0.62691614	0.6898426	0.5648485
PFD0680c	d23156_23	ubiquitin carboxyl-terminal hydrolase a, putative	0.418	0.42657219	0.54999698	0.45793469	0.42256411	0.52254825	0.483	0.61219937	0.54010049	0.80311321	0.756	0.69954584	0.96824113	0.624	0.862854205	0.67283767	0.76174779	0.927	0.76243895	0.9	0.80074024	0.77072016	1.20799223	1.1371734	1.30083058	1.449	1.54351955	1.70058837	1.802	1.63471103	1.48102778	1.39087623	1.51200622	1.61387632	1.72437097	1.42008009	0.80981358	0.8260428	0.53567818	0.74294996	0.6664822	0.69276465	0.6452805	0.79539271	0.7993615	0.6262203
PFD0230c	d49176_6	protease, putative	1.497	1.42151986	0.74450809	0.73497252	0.67098796	0.61006241	0.406	0.46299796	0.30974439	0.34375094	0.223	0.18456653	0.19364823	0.111	0.109435166	0.0665829	0.06357032	0.102	0.061686	0.055	0.03901519	0.04863768	0.04601016	0.0975634	0.16557516	0.231	0.41770715	0.71089435	0.943	1.12391077	1.51385611	1.79308711	2.64312524	3.59620772	3.99472703	3.28422123	3.45511734	4.10032841	3.41878697	2.80496193	1.9096109	2.05985527	1.3606003	1.47502935	1.4325565	1.4149624
PFD0230c	d49176_7	protease, putative	1.742	1.12745237	0.84511729	0.74382764	0.68316559	0.54537804	0.432	0.46536624	0.4763296	0.30367234	0.209	0.21425204	0.1950721	0.086	0.154051046	0.04906108	0.06357032	0.129	0.02631936	0.076	0.03065479	0.03928428	0.05503176	0.063976	0.12377152	0.233	0.37693497	0.65889958	0.958	1.31649525	1.75115824	2.08837069	2.75758391	3.10170211	3.25529028	3.46825502	4.18512678	4.56893731	3.4233362	3.00959911	1.8452693	1.83727496	1.3697859	1.43262375	1.4954983	1.209253
PFD0165w	d6287_29	ubiquitin-specific protease, putative	0.993	1.03911586	0.58353334	0.75521276	0.65393927	0.70518647	0.678	0.88573525	0.92923314	1.13607369	0.98	0.94477409	1.13483554	1.064	1.175165387	1.14008611	1.56514509	1.118	1.276489	1.285	1.49836896	1.31508806	0.88321462	1.2419341	1.29673219	1.022	0.9410893	0.94038866	0.842	1.0133252	1.12554364	0.94918465	1.18882924	1.04072399	0.99868176	0.8716417	0.8935423	0.91928643	0.90758213	0.91891178	1.1678613	1.22748405	0.969069	0.6647374	0.7578199	0.6648618
MAL7P1.147	e13057_1	ubiquitin carboxyl-terminal hydrolase, putative	0.769	0.93334453	1.03375956	1.37506915	1.01439742	1.31778556	0.962	1.21729386	0.95526213	1.42124823	1.238	0.87636835	1.33987482	1.062	1.160854568	0.82936588	1.00178053	1.223	1.29951844	1.074	1.13329829	0.90634444	1.245883	1.167562	1.3196832	1.274	1.23231932	1.20574142	1.116	1.2773765	0.72409973	0.85295008	0.90508766	0.79077787	0.77184258	0.66471835	0.50760528	0.55348455	0.39806234	0.50051367	0.5681487	0.42408784	0.870325	0.903126	0.8245382	0.8864824
PFE0835w	e13220_3	ubiquitin carboxyl-terminal hydrolase 2, putative	1.5	1.65165957	1.47308634	1.89625443	1.6342393	1.71857498	1.593	1.90290976	1.61769866	2.09641826	1.237	1.1409567	1.43669888	1.037	1.275340623	1.01392899	1.0489103	0.883	1.05030692	0.605	0.72642561	0.67438015	0.37439639	0.8364862	0.7655802	0.496	0.45431896	0.58628613	0.489	0.85534574	0.86760654	1.05446675	1.17728724	1.50829557	1.49753168	1.43656072	1.65625847	1.83737738	1.41482728	1.53934019	1.3086844	1.3855293	1.283672	0.81258418	1.096447	1.1296969
PFE0370c	e18550_1	subtilisin-like protease precursor, putative	3.24	2.7430798	1.33810232	1.6508419	0.97542896	0.97153385	0.958	0.77442623	0.8251174	0.58884689	0.477	0.44141086	0.4371324	0.332	0.383023106	0.1226527	0.18742284	0.332	0.18012312	0.295	0.12354809	0.1590078	0.07307496	0.1335499	0.12131249	0.277	0.15227174	0.13626222	0.288	0.60257868	0.99985788	1.28559404	1.76689274	2.30984703	1.97968784	1.97401195	2.97367726	4.07641981	4.66870273	4.95430338	4.4225764	3.70089075	2.5306019	1.24466347	1.8165017	1.3444984
PFE0365c	e18550_2	hypothetical protein	2.933	3.04295903	1.12011573	2.21883274	1.20680412	0.6468437	0.767	0.63588211	0.80950001	0.42390811	0.456	0.35235428	0.31895003	0.159	0.21297767	0.10045841	0.09206736	0.187	0.16285104	0.078	0.06316745	0.05986176	0.090216	0.095964	0.11147635	0.145	0.17806641	0.25459522	0.374	0.54089146	0.9735952	1.3859411	1.45718153	2.13531562	1.84417348	1.31753402	3.67490517	3.27189463	3.88167669	5.82107829	4.9530913	4.21058651	3.1644007	1.99650444	2.6624403	2.0582305
MAL7P1.147	e21586_1	ubiquitin carboxyl-terminal hydrolase, putative	0.773	0.92869531	0.99100065	1.00568536	1.23481277	1.33934697	0.815	0.92125936	0.8199116	1.42895565	1.104	1.15386344	1.47514384	1.019	1.248402781	1.08284815	1.21879647	1.339	1.18354873	1.104	0.98188222	1.33753615	1.22693761	1.2803197	1.53689813	1.185	1.37460603	1.17884758	1.125	1.41579658	0.92388372	1.0478867	1.17536359	0.92221503	1.17740361	0.78923857	0.41733527	0.6120607	0.40261164	0.47705208	0.5038071	0.52154903	0.7440245	0.73350334	0.6911015	0.6887287
PFE1355c	e22156_1	ubiquitin carboxyl-terminal hydrolase, putative	0.625	0.78456736	0.56005787	0.7197924	0.80494202	0.71025976	0.588	1.0100697	0.66243653	1.02816982	0.782	1.00414515	1.12913999	0.807	0.979865705	1.26741133	1.32511235	1.072	1.14900452	0.993	1.37574972	1.41797547	0.86426928	1.3458951	1.4409957	0.885	1.06507006	1.02465607	0.967	0.98549069	1.33095533	0.98126275	1.25231052	1.44796376	1.39540495	1.19850732	1.03352622	1.11533716	0.80408597	0.69602679	0.688334	0.78890873	0.6188722	0.58680272	0.6394892	0.7023669
PFE0340c	e263_7	hypothetical protein, conserved	1.041	0.83222258	0.67240481	0.61985638	0.47371019	0.49210856	0.34	0.31734899	0.31755307	0.2512619	0.192	0.17811315	0.14950782	0.105	0.152367424	0.05256545	0.07891488	0.143	0.06744336	0.096	0.10125369	0.08230992	0.22373568	0.2167187	0.35410134	0.569	0.64736291	1.1958803	1.436	1.67834333	2.26421857	2.34335091	2.65274359	3.00043098	2.93712605	2.90333589	3.06525544	3.07943023	1.76171026	1.53803671	1.215207	1.0773412	1.24693	1.18277411	1.1921187	1.0433217
PFE0915c	e27723_3	proteasome subunit beta type 1	0.434	0.39054019	0.40327522	0.49462009	0.37750684	0.43249745	0.363	0.45707728	0.73271469	0.62275956	0.634	0.71374324	0.96396945	0.758	0.93524975	0.89127634	0.89436862	1.048	0.94585198	1.132	1.17138455	0.96059413	1.42090204	1.1531674	1.26722374	1.632	1.39374401	1.51233143	1.763	1.59107855	1.84776744	1.44269478	1.32444815	1.25188528	1.20686322	1.05109732	0.91185795	0.73758091	0.51861838	0.85113391	0.5535808	0.4741355	0.5476847	0.60628635	0.6621483	0.5023401
MAL8P1.126	e27742_6	serine protease, putative	0.929	0.98564904	1.42781219	0.95508481	1.11303627	0.79270063	0.936	1.32149807	0.8199116	1.12220033	1.069	0.99381973	1.13910722	0.997	0.94956057	0.91347063	0.96232314	0.868	0.71391262	0.64	0.73292811	0.6341605	0.73977119	0.7301261	0.75164564	0.879	0.70560892	1.15822895	1.293	0.96743595	0.98391272	0.85377264	1.36388343	1.76470586	1.8520294	1.17103965	1.04137576	1.39148173	1.08727884	1.02057863	0.9335606	0.73886111	0.9208452	1.08650187	1.0435759	0.8296567
PFE0355c	e7539_1	serine protease belonging to subtilisin family, putative	1.241	0.86825451	0.8945835	0.7197924	0.60522872	0.61640401	0.439	0.47365521	0.42817606	0.33912648	0.228	0.22070543	0.23778862	0.266	0.238231941	0.11798023	0.09097132	0.285	0.08718288	0.148	0.12354809	0.13749498	0.23817024	0.3662626	0.51721743	0.779	0.83957473	1.20753432	1.344	1.51284105	1.90779633	2.31703032	2.40362823	3.02090051	2.69850293	2.67535392	2.66623606	2.18285698	1.38753165	1.74137041	1.3475322	1.27094646	1.623535	1.2332025	1.4652863	1.2410755
PF08_0108	f12313_1	pepsinogen, putative	4.37	2.76632649	1.44206522	2.04426108	1.31640285	0.88275139	0.968	0.82060766	0.93704188	0.4716941	0.436	0.38462116	0.3474277	0.178	0.196141493	0.11447586	0.09754756	0.142	0.05181624	0.057	0.05294918	0.0514437	0.03698856	0.0231913	0.0155739	0.041	0.02496258	0.06095942	0.128	0.30467462	0.78600461	1.10299526	1.37254002	1.80887739	1.552523	1.65813348	3.80573114	3.802666	5.22826478	7.89482121	5.0659926	4.93891125	4.0829494	2.53517087	3.2062578	2.3162197
MAL7P1.147	f17275_1	ubiquitin carboxyl-terminal hydrolase, putative	1.001	0.97867513	1.10670124	1.17140204	1.25307921	1.31271219	1.033	1.30728832	0.96827659	1.47057573	1.148	1.11643389	1.39825408	1.06	1.183583469	0.984726	0.98424392	1.161	1.09801083	1.054	0.86483662	1.08592975	1.49487907	1.1627638	1.28771569	1.467	1.38209486	1.32228147	1.291	1.20816646	0.81883299	0.92944421	1.05609598	0.99332038	0.981988	0.80388804	0.5128383	0.67183219	0.47312555	0.58262918	0.7405357	0.8060303	0.8094711	0.92146362	0.9126569	1.1171952
NULL	f22635_2	#N/A	0.569	0.56837545	0.42255865	0.44401958	0.45544375	0.4413757	0.32	0.4180007	0.41386013	0.52564603	0.474	0.49820056	0.70624645	0.538	0.697859658	0.65531587	0.81874186	0.861	0.90966284	0.987	1.04504963	0.89699105	0.89043191	1.0420091	1.09017311	1.123	1.32468092	1.50157381	1.281	1.88672569	1.73239919	1.93949512	1.87558025	2.1083818	2.09261647	1.67278295	1.21668274	1.08784224	0.69262852	0.67647549	0.7538896	0.71120325	0.7359872	0.55471191	0.7087253	0.6864556
MAL8P1.141	f23551_1	hypothetical protein	2.298	2.69309997	2.10021715	2.7678484	2.33567133	1.97097086	1.836	2.04974281	2.01594144	2.21357101	2.339	1.81597965	1.9991332	1.515	1.426866299	1.23236759	1.30647971	1.278	1.23947733	1.004	0.80724279	0.97930103	0.77405326	0.6693489	0.50082387	0.482	0.46430401	0.30210771	0.314	0.26254677	0.2373021	0.25086769	0.23949716	0.31997413	0.42421883	0.38088545	0.29435872	0.48175869	0.51748107	0.60087708	1.3014005	1.46718585	1.6200905	1.93461507	2.2696831	1.7661459
PFI1625c	f26774_1	organelle processing peptidase, putative	0.507	0.444007	0.54664333	0.56799084	0.49197667	0.4413757	0.57	0.62285662	0.80299278	0.82469398	0.734	0.88540304	1.14480276	0.903	1.031216045	0.88309946	1.11028853	1.147	1.38012142	1.444	1.36181574	1.59101332	1.97933905	1.2947143	1.50001261	1.519	1.42702752	1.49888451	1.548	1.05470073	1.20339369	0.8562402	0.82910262	0.74552894	0.65498599	0.64457536	0.52461265	0.55228914	0.36053076	0.53570605	0.6591982	0.56106032	0.4879791	0.61201684	0.6067594	0.5250704
MAL8P1.157	f27536_1	hypothetical protein	0.51	0.70669175	0.44351888	0.56546081	0.50171877	0.45659558	0.494	0.4985221	0.39303698	0.58113947	0.721	0.62597739	0.95969785	1.037	1.33763449	0.91814312	1.29332714	1.599	1.50678337	1.85	1.31722698	1.7537625	1.91077491	1.9608643	1.74263749	1.648	1.88467488	1.61721747	1.407	1.44814474	0.90418668	0.78056863	0.75888858	0.70782158	0.71881521	0.60703616	0.59918354	0.6742231	0.51065713	0.52006496	0.69319	0.63218063	0.6521697	0.55929632	0.5073113	0.5068861
MAL7P1.147	f3277_1	ubiquitin carboxyl-terminal hydrolase, putative	0.733	0.83919649	0.90715963	1.10182631	1.08502769	1.15544045	0.824	1.02191107	0.87196951	1.12374179	0.897	1.25582676	1.31139717	0.933	1.113713268	1.15877601	1.09604	1.251	1.06511156	1.021	0.9122122	0.99333111	1.03387538	1.2675245	1.24099405	1.229	1.22649474	1.26132199	1.167	1.44513565	0.95858792	1.02814625	1.02627904	0.91036416	0.92699668	0.69676397	0.58479266	0.58815207	0.40716093	0.39363312	0.5293009	0.5294513	0.7199126	0.69568209	0.7452315	0.7444179
MAL8P1.140	f36648_1	methionine aminopeptidase, putative	0.579	0.60556979	0.49550033	0.43136942	0.42256411	0.32849514	0.278	0.26051036	0.2407677	0.24047151	0.195	0.2632977	0.29616788	0.258	0.419220879	0.29787085	0.43622392	0.49	0.69664056	0.733	0.8954914	1.01671459	1.48224889	1.3978756	1.73116204	1.54	1.73989189	1.88346673	2.054	1.68737079	1.95469416	1.62282608	1.72072464	1.44796376	1.36299936	1.02271402	0.62404049	0.76148958	0.56069925	0.57350524	0.6191364	0.64403402	0.6935043	0.84009054	0.8043968	0.636449
MAL8P1.140	f36648_2	methionine aminopeptidase, putative	0.563	0.67298443	0.69168824	0.58443602	0.42743518	0.54664634	0.464	0.39787036	0.42557316	0.77999088	1.079	0.51239799	0.69343149	0.787	1.077515496	0.71255383	0.98533995	1.021	1.28718125	1.263	1.49743999	1.29918731	1.38120698	1.4066723	1.43607759	1.325	1.65335487	1.48095518	1.507	1.25104662	1.68362559	1.2469358	1.30713509	1.40702432	1.2314129	0.84142724	0.56778525	0.70291343	0.52885427	0.48226578	0.4977371	0.65193629	0.5832785	0.73923383	0.8232794	0.6648618
MAL8P1.98	f3666_3	hypothetical protein	0.627	0.53001883		0.5148603	0.521203	0.47815702	0.353	0.523389		0.39770285	0.409	0.27878581	0.41007857	0.513	1.310696648	0.35510877	0.48116157	0.819	0.83152731	0.916	1.09706987	1.25335563	1.20257923	1.1003872	1.25001046	1.435	1.48111306	1.63514669	1.481	1.2540558	1.47727602	0.96481242	0.89258378	0.7843137	0.74140094	0.75719295	0.36108003	0.74236264	0.33664702	0.63737286	0.4722433	0.42145375	0.574093	0.86645082	0.8446796	0.5568929
MAL7P1.147	f38618_1	ubiquitin carboxyl-terminal hydrolase, putative	0.734	0.87057919	1.14107596	1.0575509	1.16540017	1.27973582	0.906	1.51806485	0.76525084	1.63089002	1.127	1.1215966	1.59475009	0.996	0.881374066	0.9683723	1.14207374	1.002	1.12268521	0.947	1.10821703	1.51805684	1.47322729	1.455454	1.62050538	1.079	1.45365422	1.30614515	1.251	0.91402387	0.79350825	0.72134739	0.9483703	0.8543417	0.91619483	0.63725062	0.39117003	0.51283989	0.3901011	0.44837684	0.5268729	0.5478899	0.6406878	0.77017852	0.9315394	0.7989708
MAL8P1.141	f46181_1	hypothetical protein	1.945	2.47342124	2.39533746	2.63375709	2.37220422	2.16882896	1.976	2.47840076	1.67235935	2.40471495	1.991	2.03281319	2.36222361	1.548	1.479900236	1.37721468	1.47526979	1.248	1.31761296	1.124	0.8221057	0.99333111	0.80292239	0.6869423	0.55164395	0.611	0.37111036	0.22142611	0.361	0.31972028	0.24011598	0.23030476	0.30874937	0.38784746	0.48117413	0.31954092	0.48928963	0.58456575	0.57207249	0.77162524	1.2929026	1.71874105	1.6258314	2.03088738	2.0065862	1.5831668
PFE1155c	f56775_5	mitochondrial processing peptidase alpha subunit, putative	0.661	0.4591172	0.52232945	0.62618144	0.50780758	0.56693948	0.672	0.74482281	0.93704188	0.91101708	0.831	0.90347248	0.99529492	0.875	1.032057793	1.02444209	1.14097765	1.256	1.37354156	1.461	1.68043981	1.37027313	1.45518411	1.3690864	1.13525541	1.168	1.30637506	1.17795108	1.013	1.09156261	1.09834297	0.78550372	0.70983494	0.71428569	0.71194132	0.60154263	0.55208613	0.62042868	0.49132268	0.6777789	0.868005	0.80207922	1.1309632	1.17475145	1.2525428	1.1978879
MAL8P1.157	f64347_1	hypothetical protein	0.388	0.37891698	0.43681163	0.40353915	0.35315155	0.44898564	0.332	0.55891314	0.4125587	0.71062412	0.74	0.71761529	1.11632503	0.839	1.125498643	1.11789182	1.53226392	1.421	1.51994308	1.899	1.67207936	1.95579601	2.05151178	1.7265522	2.21969069	1.668	1.90797318	1.69162376	1.671	0.97270191	0.72785155	0.68762423	0.7406137	0.59793148	0.7129233	0.46969768	0.33622308	0.41242369	0.2877422	0.34670999	0.3969757	0.46623322	0.3823459	0.61087076	0.5412999	0.7103225
MAL8P1.157	f64347_2	hypothetical protein	0.422	0.46376647	0.46531756	0.43769448	0.35802262	0.41347265	0.274	0.39668624	0.37481672	0.6844189	0.66	0.74213811	1.09354292	1.035	1.355312502	1.03028276	1.42485195	2.01	1.80616616	1.892	1.48164816	2.0371705	2.09842414	1.6633759	1.69755529	1.787	1.81644381	1.53115705	1.426	1.04492113	0.81226729	0.80853419	0.78197269	0.66688215	0.79442831	0.58872438	0.24072002	0.40525109	0.30707668	0.47444523	0.4722433	0.42672193	0.4960164	0.5730495	0.5123467	0.4852923
MAL8P1.157	f70599_1	hypothetical protein	0.298	0.37078072	0.28925145	0.29474802	0.34219167	0.35893483	0.337	0.36234622	0.2602894	0.67671149	0.623	0.66340695	1.02662039	0.871	0.983232898	1.1622804	1.5443204	1.357	1.62686548	1.591	1.48257703	2.32057849	2.18954236	2.207172	2.39838085	1.965	2.23331884	1.72568931	1.648	1.1148834	0.76818351	0.6571911	0.76465964	0.78862312	0.74729285	0.52737982	0.29043395	0.52001249	0.27295703	0.23331237	0.4552474	0.40960036	0.3880869	0.44354031	0.4531813	0.392098
PFE0835w	f71130_3	ubiquitin carboxyl-terminal hydrolase 2, putative	1.401	1.58192017	1.39511427	1.77228324	1.5197695	1.68813521	1.473	2.08526706	1.39515122	1.99313879	1.326	1.1551541	1.31851658	1.107	1.135600322	0.9438418	1.00726079	0.788	0.88498846	0.622	0.69762867	0.68747491	0.38792881	0.8268898	0.68361228	0.469	0.41521092	0.60690476	0.493	0.8741528	0.95296028	1.04459657	1.24269217		1.55645102	1.33309901	1.56337196	1.6879485	1.05543386	1.38683996	1.4701455	1.2986044	1.1941134	0.6750523	0.8610445	0.9035302
PFI0355c	i10869_1	ATP-dependent heat shock protein, putative	0.57	0.51025937	0.61790816	0.47564487	0.47736348	0.5504513	0.377	0.51510003	0.43077896	0.61967658	0.509	0.58983846	0.79879891	0.594	0.716379468	0.84805586	0.96122705	0.816	0.95736675	0.864	1.06827293	0.91008581	0.97343064	1.1227788	1.30656831	1.045	1.61091849	1.50784912	1.392	1.63245417	1.84401556	1.53646178	1.91405365	1.99956897	1.90112876	1.62791902	1.28994535	1.32812377	0.78816347	0.8772023	0.7393218	0.7691531	0.7933965	0.73464943	0.8874801	0.7103225
PFI1570c	i12132_1	aminopeptidase, putative	0.347	0.34869661	0.25823028	0.40353915	0.27765019	0.41981425	0.42	0.60391037	0.86546228	1.14223964	1.148	1.06609752	1.55203361	1.417	1.635634852	1.72181033	1.89286108	1.747	1.88430159	2.324	2.07523629	1.93147715	2.03346859	1.8401098	1.57132469	1.816	1.57763508	1.13761033	1.208	0.94261061	0.95671204	0.85953023	0.74830841	0.62055588	0.63338224	0.57041259	0.44742527	0.43991861	0.33892167	0.48487262	0.4236836	0.37535725	0.4041615	0.4492708	0.4594755	0.4659716
PFI0370c	i14195_1	subunit of proteaseome activator complex, putative	1.158	1.5133433	1.36996189	1.83047384	1.31031403	1.42305614	1.342	1.85199184	1.95607487	2.1072086	1.512	1.82501449	2.1742708	1.235	1.25345357	1.32348111	1.28894304	1.218	1.06182169	1.146	1.13515613	0.99613715	1.245883	0.9084592	0.90000758	0.923	0.8520561	0.7073085	0.903	0.67028413	0.91544214	0.69009175	0.75311758	0.76276664	0.7040854	0.59971142	0.68552875	0.67063678	0.5800337	0.68429599	0.7453917	0.79417691	0.8576949	1.28248473	1.2814961	1.2160722
MAL13P1.310	i14747_2	hypothetical protein	1.385	1.57378396	2.39952941	1.97342021	1.51733401	2.33117407	1.692	2.20012845	1.53310453	2.38775875	1.706	2.00312766	2.1657276	1.38	1.48242568	1.34801169	1.45334901	1.212	1.17779139	1.068	1.17417137	0.99800781	0.94907236	0.9316505	0.94017178	0.928	0.67981424	0.70192974	0.787	0.52133213	0.58997244	0.79372888	0.95029394	0.59793148	0.82094199	0.75078379	0.46574092	0.61803785	0.32754843	0.51224446	0.8012354	0.76388492	1.1929653	1.68476556	1.5257105	1.3660923
